trip_id,route_id,service_id,direction_id
120781,23731,Regular,0
110339,22934,Regular,1
60497,22682,Regular,1
41873,12808,Regular,1
72121,23210,Regular,0
118266,22606,Regular,0
107441,21118,Regular,0
107333,21118,Regular,0
45159,24025,Regular,0
101067,23973,Regular,0
107444,20527,Regular,0
88877,11809,Regular,1
108712,24079,Regular,0
109145,21917,Regular,0
108716,24079,Regular,0
120782,23730,Regular,0
120783,23731,Regular,0
120784,23730,Regular,0
100203,23775,Regular,0
99511,23210,Regular,0
45791,22694,Regular,1
120785,23731,Regular,0
120786,23730,Regular,0
93037,23210,Regular,0
47213,13034,Regular,0
49378,12590,Regular,1
28926,12731,Regular,1
29396,23776,Regular,1
34075,23919,Regular,0
115331,22802,Regular,0
120757,23731,Regular,0
120758,23730,Regular,0
120759,23731,Regular,0
120761,23731,Regular,0
120762,23730,Regular,0
120763,23731,Regular,0
120760,23730,Regular,0
120764,19987,Regular,0
120695,23731,Regular,0
76308,13362,Regular,1
120530,23960,Regular,0
42769,12428,Regular,0
120696,23730,Regular,0
51671,18158,Regular,0
115411,22802,Regular,0
79972,13034,Regular,0
71782,23210,Regular,0
79978,23210,Regular,0
101034,23974,Regular,0
120697,23731,Regular,0
120698,23730,Regular,0
120699,23731,Regular,0
120690,23693,Regular,0
100272,20228,Regular,0
47223,13034,Regular,0
76362,13364,Regular,0
120691,23731,Regular,0
99515,23210,Regular,0
108104,24061,Regular,1
98186,23847,Regular,1
29373,17329,Regular,0
120692,23730,Regular,0
120693,23731,Regular,0
120694,23730,Regular,0
120700,23730,Regular,0
120701,23731,Regular,0
120702,19987,Regular,0
14424,22938,Regular,0
120770,23730,Regular,0
6039,11464,Regular,1
76370,13361,Regular,0
51161,12765,Regular,1
10806,11277,Regular,0
51163,12767,Regular,0
120771,23731,Regular,0
120772,23730,Regular,0
4246,24051,Regular,0
120773,23731,Regular,0
120774,19987,Regular,0
120765,19984,Regular,1
120766,23730,Regular,0
77239,21649,Regular,0
77231,21649,Regular,0
120767,23731,Regular,0
78485,18001,Regular,0
120768,23730,Regular,0
11049,21800,Regular,1
32674,22169,Regular,1
31212,22938,Regular,0
27311,11464,Regular,1
70850,13256,Regular,1
70851,13259,Regular,0
11020,16734,Regular,0
120801,23852,Regular,1
120802,23730,Regular,0
120803,23731,Regular,0
120804,23730,Regular,0
120809,23731,Regular,0
120810,23730,Regular,0
120811,23731,Regular,0
120812,23730,Regular,0
52210,12536,Regular,0
29489,23775,Regular,0
77245,21649,Regular,0
77247,21649,Regular,0
77257,21649,Regular,0
33277,10154,Regular,1
120813,22581,Regular,1
16890,11826,Regular,1
31543,22987,Regular,1
79291,23522,Regular,0
16894,11830,Regular,1
109947,22603,Regular,1
120805,23851,Regular,1
70852,13256,Regular,1
120806,23853,Regular,0
69164,13405,Regular,1
70853,13259,Regular,0
51618,12723,Regular,1
104305,23148,Regular,1
16896,11826,Regular,1
51590,12723,Regular,1
51606,12723,Regular,1
120448,23958,Regular,1
114111,22151,Regular,0
70854,13256,Regular,1
47233,13034,Regular,0
44376,16223,Regular,0
120442,23958,Regular,1
120412,23958,Regular,1
120428,23958,Regular,1
120807,23731,Regular,0
120808,23730,Regular,0
13498,18180,Regular,0
109937,22603,Regular,1
120432,23958,Regular,1
70862,13256,Regular,1
51620,12723,Regular,1
118653,23232,Regular,0
18940,23995,Regular,1
117680,23280,Regular,0
69144,13405,Regular,1
70864,13256,Regular,1
69086,13391,Regular,0
116606,23040,Regular,1
105854,23210,Regular,0
51431,15773,Regular,0
114106,22948,Regular,0
119733,23796,Regular,1
104307,23148,Regular,1
101794,21026,Regular,1
51584,12723,Regular,1
70868,13256,Regular,1
117682,23280,Regular,0
117666,23280,Regular,0
70870,13256,Regular,1
117668,23280,Regular,0
95145,12362,Regular,0
69146,13405,Regular,1
66924,11277,Regular,0
70873,13259,Regular,0
70875,13259,Regular,0
70872,13256,Regular,1
117684,23280,Regular,0
117686,23280,Regular,0
117744,23243,Regular,0
69138,13405,Regular,1
77242,21650,Regular,1
117746,23243,Regular,0
70880,13256,Regular,1
20521,3206,Regular,0
69184,13405,Regular,1
69186,13405,Regular,1
69188,13405,Regular,1
37470,10415,Regular,0
79359,17928,Regular,0
69246,16490,Regular,1
70879,13259,Regular,0
69250,16490,Regular,1
50616,13110,Regular,1
117688,23280,Regular,0
77244,21650,Regular,1
117690,23280,Regular,0
117692,23280,Regular,0
69347,19882,Regular,0
20523,13218,Regular,1
70821,13259,Regular,0
117840,23283,Regular,0
20525,13218,Regular,1
70823,13259,Regular,0
95030,12540,Regular,0
98599,20088,Regular,0
116513,21015,Regular,0
67555,17928,Regular,0
43023,12411,Regular,1
42994,12407,Regular,0
88876,18487,Regular,0
11968,23245,Regular,0
77252,21650,Regular,1
70831,13259,Regular,0
51368,12784,Regular,1
70833,13259,Regular,0
70882,13256,Regular,1
77254,21650,Regular,1
77240,21650,Regular,1
77256,21650,Regular,1
70835,13259,Regular,0
10922,11277,Regular,0
117814,23283,Regular,0
113128,23245,Regular,0
117816,23283,Regular,0
69152,13405,Regular,1
84851,19247,Regular,1
117912,23283,Regular,0
50735,13097,Regular,1
76400,13361,Regular,0
43775,18682,Regular,1
19585,12488,Regular,0
50731,13097,Regular,1
29613,12141,Regular,1
95026,12540,Regular,0
70841,13259,Regular,0
70843,13259,Regular,0
70845,13259,Regular,0
70855,13259,Regular,0
69240,16490,Regular,1
51628,12723,Regular,1
117786,23283,Regular,0
117788,23283,Regular,0
117790,23283,Regular,0
84857,19247,Regular,1
117792,23283,Regular,0
29368,17489,Regular,1
70857,13259,Regular,0
18711,12492,Regular,0
70859,13259,Regular,0
47211,13034,Regular,0
99497,24058,Regular,0
70861,13259,Regular,0
102582,21286,Regular,1
70863,13259,Regular,0
10842,11277,Regular,0
70869,13259,Regular,0
70871,13259,Regular,0
103704,13110,Regular,1
117794,23283,Regular,0
70877,13259,Regular,0
117796,23283,Regular,0
117798,23283,Regular,0
116602,23040,Regular,1
20532,13218,Regular,1
20505,2746,Regular,0
11989,23245,Regular,0
70881,13259,Regular,0
70883,13259,Regular,0
70817,13259,Regular,0
70865,13259,Regular,0
71153,16425,Regular,0
115347,23355,Regular,0
115357,23355,Regular,0
71155,16425,Regular,0
18938,23995,Regular,1
94153,18206,Regular,1
25172,12372,Regular,0
23097,11541,Regular,0
108984,21544,Regular,1
118579,23487,Regular,0
82697,23111,Regular,0
51720,10602,Regular,0
118513,22870,Regular,0
118515,22870,Regular,0
115397,23355,Regular,0
47217,13034,Regular,0
