route_id,route_short_name,route_long_name,route_type,agency_id
23859,583 CT2,Poonamallee Depot EV TO Poonamallee Bus Terminus,3,69
19039,66P CT6,Poonamallee B.T TO Tambaram West,3,69
23860,597A CT2,Poonamallee Depot TO Poonamallee Terminus,3,69
23861,62 CT12,Poonamallee Terminus TO Poonamallee Depot,3,69
17793,22,Korattur Bus Terminus TO Ayanavaram,3,69
17800,114,M.G.R.Koyambedu TO Poochi Athipet,3,69
17798,15,M.G.R.Koyambedu TO Shanthi Colony,3,69
23862,62 CT7,Poonamallee Bus Terminus TO  Poonamallee Depot,3,69
23863,62 CT8,Poonamallee Depot TO  Poonamallee Bus Terminus,3,69
19882,S75 CT1,Padi Lucas T.V.S TO Ambattur I.E,3,69
23864,66P CT1,Poonamallee Depot TO Poonamallee Terminus,3,69
17803,19D,Perumpakkam S.C.B TO Tambaram West,3,69
23865,66P CT2,Poonamallee Terminus TO Poonamallee Depot,3,69
23866,91 CT10,MGR CHENNAI CENTRAL TO  Central Depot,3,69
12469,66P,Tambaram West TO Kilambakkam B.T,3,69
23867,91 CT8,Central Depot TO  M.G.R.Central,3,69
23868,91V CT3,Tambaram West TO  Guduvancheri,3,69
23869,A1 CT11,Mgr Central Station TO Central Depot,3,69
10736,109C,Kovalam TO Thiruvanmiyur,3,69
10738,109C,Thiruvanmiyur TO Kovalam,3,69
23870,A1 CT2,Central Depot TO Mgr Central Station,3,69
23871,CU2 CT1,MGR CHENNAI CENTRAL  TO  Central Depot,3,69
10590,27B,M.G.R.Koyambedu TO Avadi B.T,3,69
23873,P570S CT,Siruseri It Park TO Perumbakkam Depot,3,69
10568,104F,Kilambakkam B.T TO Ambattur I.E,3,69
15968,S11,Cement Road TO Keelkattalai,3,69
10900,121M,M.G.R.Koyambedu TO Vazhuthigaimedu,3,69
23874,P570S CT1,Perumbakkam Depot TO Siruseri It Park,3,69
17172,76,Medavakkam Rd.Jn TO Cement Road,3,69
23875,P91 CT,Perumbakkam TO  Thiruvanmiyur,3,69
23876,P91 CT1,Thiruvanmiyur TO  Perumbakkam,3,69
23877,P91 CT3,Kilambakkam  TO  Poonamallee,3,69
10272,153P,M.G.R.Koyambedu TO Perambakkam,3,69
19065,104C R,Guduvanchery TO Koyambedu,3,69
17168,76,N.G.O.Colony TO Medavakkam Rd.Jn,3,69
17169,76,Medavakkam Rd.Jn TO N.G.O.Colony,3,69
19066,104C R,Koyambedu TO Guduvanchery,3,69
23878,P91 CT4,Poonamallee Depot TO  Kilambakkam,3,69
12783,77K,Avadi B.T TO Ambattur I.E,3,69
23884,5C CT10,Adyar B.T TO Taramani,3,69
11611,515A,Mamallapuram TO Thiruporur,3,69
11612,515A,Sulerikadu TO Tambaram West,3,69
11613,515A,Tambaram West TO Kovalam,3,69
17806,29D,Mathur M.M.D.A. TO Moolakadai,3,69
23887,70A R1,Avadi B.T TO M.G.R.Koyambedu,3,69
23892,60H R1,Guduvanchery TO Sankara Health Centre,3,69
23893,60H R4,Sankara Health Centre TO Guduvanchery,3,69
23895,10A CT1,Saidapet West TO  Royapuram,3,69
23896,10A CT,Royapuram TO Saidapet West,3,69
19099,54E,Dms TO Meppur,3,69
19100,54E,Meppur TO Dms,3,69
19101,54E CT,Poonamallee B.T TO Meppur,3,69
19102,54E,Meppur TO Poonamallee B.T,3,69
10419,16J,Iyyappanthangal TO M.G.R.Koyambedu,3,69
19885,S75 CT2,Ambattur O.T  TO Padi Lucas T.V.S,3,69
23897,10A R,Saidapet West TO Thangal Tollgate,3,69
19886,S75 CT2,Padi Lucas T.V.S TO Ambattur O.T,3,69
19888,48B CT6,Pudur TO Ayanavaram B.T,3,69
10578,104F,Madhavaram B.T TO Madhavaram,3,69
4465,202,Tambaram West Bus Stand TO Avadi Bus Terminus,3,69
17824,114S,Moolakadai TO Seemavaram,3,69
23899,10E CT2,Ekkattuthangal TO  Royapuram,3,69
17823,57,Redhills TO Vyasarpadi,3,69
19119,54S CT3,Saidapet TO Porur,3,69
12372,592V,Redhills TO Vengal,3,69
19120,54S CT4,Saidapet TO Vadakku Malaiambakkam,3,69
19891,547A,Vallalar Nagar TO Periyapalayam,3,69
19121,54S CT2,Vadakku Malaiambakkam TO Saidapet,3,69
20607,102X CT4,Adyar TO Thiruporur,3,69
10600,27B,Anna Square TO Vadapalani,3,69
4942,95X,Shozhanganallur TO Tambaram East,3,69
18093,592V,Padiyanallur TO Redhills,3,69
10400,26B,Mangadu TO Iyappanthangal,3,69
23911,153A CT7,Thiruvallur TO Poonamallee B.T,3,69
18092,592V,Redhills TO Padiyanallur,3,69
10176,147V,Venkatachalam Nagar TO Ambattur I.E,3,69
17839,T29C,Perambur TO Vyasarpadi depot,3,69
23913,18ACT R1,Tambaram West TO Royapuram,3,69
8631,29C,Adyar B.S TO Kilambakkam B.S,3,69
19892,547A CT2,Redhills TO Periyapalayam,3,69
19893,547A CT1,Periyapalayam TO Redhills,3,69
17840,T29C,M.K.B.Nagar TO Perambur Bus Terminus,3,69
19124,553K,Poonamallee B.T TO Sunguvarchathiram,3,69
10604,27B,Vadapalani TO Anna Square,3,69
17847,29CEt CT,Otteri TO Perambur B.T,3,69
19125,553K,Sunguvarchathiram TO Poonamallee B.T,3,69
17489,566,Thiruporur Bs TO Kundrathur,3,69
17864,19D,Perumbakkam Scb TO Semmancheri Bus Stand,3,69
19142,102C CT2,Santhome Church TO Semmancheri,3,69
17865,19D,Adyar Old Depot TO Besant Nagar Terminus,3,69
12488,66K,Nehru Nagar TO Kundrathur B.T,3,69
19150,3 CT1,Thiruvanmiyur Bus Stand TO Kannagi Nagar Bus Stand,3,69
12111,572A,Avadi B.T TO M.G.R.Koyambedu,3,69
23921,88D R1,Saidapet West TO Kundrathur B.T,3,69
11137,29AEX,Peravallur Kumaran Nagar TO Perambur B.T,3,69
12112,572A,Avadi B.T TO Thiruvallur Collector Office,3,69
19155,91,Thiruvanmiyur TO Adyar,3,69
8640,29C,Kilambakkam B.S TO Adyar B.S,3,69
23922,88D R,Kundrathur B.T TO Saidapet West,3,69
12113,572A,M.G.R.Koyambedu TO Avadi B.T,3,69
12115,572A,Thiruvallur Collector Office TO Avadi B.T,3,69
23923,M70 CT1,K.K.Nagar TO M.G.R.Koyambedu,3,69
17886,557AE,Redhills Bus Terminus TO Annamalaichery,3,69
19160,66P CT8,Kilambakkam B.S TO Sriperumbudur,3,69
19162,91K CT,Thiruvanmiyur Bus Stand TO Tambaram West Bus Stand,3,69
19163,95X CT1,Thiruvanmiyur Depot  TO  Kilambakkam Bus Terminus,3,69
17892,54S,Saidapet TO Poonamallee,3,69
12782,77K,Ambattur I.E TO M.G.R.Koyambedu,3,69
19164,95X CT,Thiruvanmiyur Bus Stand to  Semmancheri Bus Terminus,3,69
20614,102X CT8,Thiruvanmiyur TO Thiruporur,3,69
11713,523,Mullipakkam TO Sholinganallur,3,69
19175,121A CT,Annanagar East TO M.G.R.Koyambedu,3,69
19176,121C CT,Annanagar East TO M.G.R.Koyambedu,3,69
23929,102X CT10,Thiruvanmiyur Depot TO Island ground Terminus,3,69
19177,121D CT,Annanagar East TO M.G.R.Koyambedu,3,69
11729,523,Thiruvanmiyur TO Mullipakkam,3,69
19178,159K CT,Annanagar East TO M.G.R.Koyambedu,3,69
19180,49F CT2,Guindy Bus Terminus TO Mandaveli Bus Terminus,3,69
17087,78,Velachery TO Thiruvanmiyur,3,69
19181,49F CT1,Mandaveli Bus Terminus TO Guindy Bus Terminus,3,69
11087,31B,Tambaram West TO Kandigai Junction,3,69
12494,66A,Kundrathur B.T TO Hasthinapuram,3,69
