route_id,route_short_name,route_long_name,route_type,agency_id
17234,63,Villivakkam TO Thiruverkadu,3,69
13275,S169,Moolakadai TO Thangal Tollgate,3,69
13278,S169,Thangal Tollgate TO Moolakadai,3,69
15803,170Tx,Kilambakkam B.S TO Kaviarasu Kannadasan Nagar,3,69
23801,18A CT14,Kilambakkam TO  Saidapet,3,69
10492,188A,Thyagaraya Nagar TO Kundrathur B.T,3,69
13349,S48,Avadi B.T TO Siranjivi Nagar,3,69
13350,S48,Siranjivi Nagar TO Avadi B.T,3,69
18952,47D CT,Thiruvanmiyur TO Ambattur I.E,3,69
3159,66K,Kundrathur TO Kilambakkam,3,69
3147,D70Ct,Elango Nagar Officers Colony TO Velachery,3,69
23802,18A CT15,Saidapet  TO  Kilambakkam,3,69
23803,21P CT1,Island ground Terminus TO  Ngo Colony,3,69
11965,558A,Redhills TO Ponneri,3,69
18953,47D,Thiruvanmiyur TO Avadi B.T,3,69
11960,558A,Minjur TO Redhills,3,69
23805,72 R1,Thiyagarayanagar Terminus TO Thiruverkadu,3,69
23806,72 R,Thiruverkadu TO Thiyagarayanagar Terminus,3,69
15927,A45B,Alandur (Depot) TO Guindy Tvk Estate,3,69
23807,72 CT,Thiyagarayanagar Terminus TO M.G.R.Koyambedu,3,69
16365,70ACt,Senthil Nagar TO Koyambedu Market,3,69
12645,70ACt,Ambattur I.E TO M.G.R.Koyambedu,3,69
12648,70ACt,Avadi B.T TO M.G.R.Koyambedu,3,69
12650,70ACt,Koyambedu Market TO Senthil Nagar,3,69
12651,70ACt,M.G.R.Koyambedu TO Ambattur I.E,3,69
12653,70ACt,M.G.R.Koyambedu TO Avadi B.T,3,69
12655,70ACt,M.G.R.Koyambedu TO Senthil Nagar,3,69
12657,70ACt,Senthil Nagar TO M.G.R.Koyambedu,3,69
11312,3Ct,Thyagaraya Nagar TO Tidel Park,3,69
23808,72 CT1,M.G.R.Koyambedu TO Thiyagaraya Nagar,3,69
23809,51A,Tambaram East TO Thiyagarayanagar Terminus,3,69
20561,221 CT2,M.G.R.Central TO Kelambakkam,3,69
23810,51A,Thyagaraya Nagar TO Tambaram East,3,69
